3451,,,Current,6/29/2015 11:01:07 AM,,Dog License S/N,,,,,DC Department of Health,,National Capital Area Spay and Neuter Center,,,$15.00,,Department of Health,
1 Years,,,,6/29/2016,,Yes,,,,,LIC Rabies,,6/29/2015,,,,,SPAY/NEUTER CLINIC,
A14374360,,,,Zeus,,4/26/2010,,,Dog,,Boerboel,,,,,Fawn,,No / Male,
6398,,,Current,6/30/2015 1:17:24 PM,,Dog License S/N,,,,,DC Department of Health,,National Capital Area Spay and Neuter Center,,,$15.00,,New York Ave,
1 Years,,,,6/30/2016,,No,,,,,LIC Rabies,,7/24/2014,,,7/24/2017,,,
A13501829,,,,Goldie,,7/24/2004,,,Dog,,"Terrier, Pit Bull / Mix",,,,,Golden,,Yes / Male,
3535,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,National Capital Area Spay and Neuter Center,,,$15.00,,Department of Health,
1 Years,,,,1/13/2016,,No,,,,,,,,,,,,,
A23998109,,,,Colin,,10/3/2010,,,Dog,,Beagle / Mix,,,,,Brown,,Yes / Male,
6731,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,New York Ave,
1 Years,,,,6/30/2015,,No,,,,,LIC Rabies,,8/1/2014,,,8/1/2017,,Jacinta Burgess,
A24676127,,,,Charlie,,1/1/2001,,,Dog,,"Dachshund, Standard Long Haired / Mix",,,,,Black / Tan,,Yes / Male,
6584,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,New York Ave,
1 Years,,,,6/30/2015,,No,,,,,,,,,,,,,
A24497792,,,,Kira,,9/10/2014,,,Dog,,"Terrier, American Staffordshire / Mix",,,,,Black / Brindle,,Yes / Female,
11084,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,,,,$15.00,,Department of Health,
1 Years,,,,6/30/2015,,Yes,,,,,,,,,,,,,
A19647407,,,,Camry,,11/2/2003,,,Dog,,"Collie, Rough / Shepherd",,,,,Tan / Black,,Yes / Female,
3479,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,National Capital Area Spay and Neuter Center,,,$15.00,,Department of Health,
1 Years,,,,6/30/2015,,No,,,,,LIC Rabies,,7/19/2014,,,,,,
A20681602,,,,Cooper,,8/9/2010,,,Dog,,"Terrier, Pit Bull / Mix",,,,,Brindle,,Yes / Male,
65805457,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,DC Animal Care and Control,,,$15.00,,Department of Health,
1 Years,,,,1/1/2016,,Yes,,,,,,,,,,,,,
A24641659,,,,Peanut,,12/24/2010,,,Dog,,Spaniel / Mix,,,,,Brown / White,,Yes / Female,
6577,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,DC Animal Care and Control,,,$15.00,,New York Ave,
,,,,6/30/2015,,No,,,,,,,,,,,,,
A24645178,,,,Savanna,,12/28/2006,,,Dog,,"Spaniel, American Cocker / Mix",,,,,Black,,Yes / Female,
3464,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,National Capital Area Spay and Neuter Center,,,$15.00,,Department of Health,
1 Years,,,,6/30/2015,,No,,,,,LIC Rabies,,7/10/2014,,,,,,
A24756994,,,,Deliah,,1/13/2011,,,Dog,,"Schnauzer, Miniature / Mix",,,,,Black / White,,Yes / Female,
3471,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,National Capital Area Spay and Neuter Center,,,$15.00,,Department of Health,
1 Years,,,,6/30/2015,,No,,,,,LIC Rabies,,11/19/2013,,,,,,
A24757235,,,,Princess Leia,,1/13/2013,,,Dog,,"Terrier, Pit Bull / Mix",,,,,Black / White,,Yes / Female,
4566,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,National Capital Area Spay and Neuter Center,,,$15.00,,Department of Health,
1 Years,,,,6/30/2015,,No,,,,,LIC Rabies,,6/24/2014,,,,,,
A24757845,,,,Bella,,1/13/2010,,,Dog,,Pomeranian / Mix,,,,,Brown,,Yes / Female,
6318,,,Current,6/28/2015 5:00:14 PM,,Dog License S/N,,,,,DC Department of Health,,DC Animal Care and Control,,,$15.00,,New York Ave,
1 Years,,,,6/28/2016,,Yes,,,,,LIC Rabies,,11/13/2013,,,11/13/2016,,,
A18692165,,,,Piedra,,4/9/2012,,,Dog,,"Terrier, Pit Bull / Mix",,,,,Black / Bronze,,Yes / Female,
6618,,,Current,6/26/2015 9:48:23 AM,,Dog License S/N,,,,,DC Department of Health,,DC Animal Care and Control,,,$15.00,,New York Ave,
1 Years,,,,6/26/2016,,No,,,,,,,,,,,,,
A24347453,,,,Frankie,,11/18/2013,,,Dog,,"Griffon, Brussels / Mix",,,,,Grey,,Yes / Male,
7207,,,Expired,6/13/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,DC Animal Care and Control,,,$15.00,,New York Ave,
1 Years,,,,6/13/2016,,No,,,,,,,,,,,,,
A24333950,,,,Strawberri,,2/6/2014,,,Dog,,"Chihuahua, Short Coat / Terrier",,,,,Black / White,,Yes / Female,
6732,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,DC Animal Care and Control,,,$15.00,,Department of Health,
1 Years,,,,6/30/2015,,No,,,,,,,,,,,,,
A01233364,,,,Andrea,,7/7/2002,,,Dog,,"Terrier, Pit Bull / German Shepherd",,,,,Fawn / Cream,,Yes / Female,
6734,,,Expired,4/27/2016 1:00:00 AM,,Dog License S/N,,,,,DC Department of Health,,DC Animal Care and Control,,,$15.00,,New York Ave,
1 Years,,,,1/3/2016,,No,,,,,LIC Rabies,,4/8/2013,,,,,,
