2529,,,Inactive,2/12/2014 11:05:07 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A17886092,,,,Maximillion,,11/12/2010,,,Dog,,Rottweiler / Mix,,,,,Black / Rust,,No / Male,
5705,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Animal Care and Control,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18904547,,,,Jade,,2/7/2010,,,Dog,,Terrier / Mix,,,,,Brown / Black,,No / Female,
0734,,,Inactive,4/30/2014 4:09:11 PM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A18671460,,,,Lottie,,,,,Dog,,Samoyed,,,,,White,,No / Female,
5781,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Animal Care and Control,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19071669,,,,Tiger,,10/20/2011,,,Dog,,"Terrier, American Pit Bull / Mix",,,,,Blue / Brindle,,No / Male,
4966,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,National Capital Area Spay and Neuter Center,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19104617,,,,Nabiya,,5/7/2012,,,Dog,,Terrier / Mix,,,,,White,,No / Female,
3717,,,Inactive,1/29/2014 3:51:16 PM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18921126,,,,Gracie,,9/16/2012,,,Dog,,"Retriever, Labrador",,,,,Yellow,,No / Female,
0925,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A19128757,,,,Rocky 25,,12/15/2007,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
5137,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Animal Care and Control,,,,,$50.00,,,
,,,,6/30/2014,,No,,,,,,,,,,,,,
A23885216,,,,Alley,,9/20/2009,,,Dog,,"Terrier, Yorkshire / Mix",,,,,Tan / Silver,,Yes / Male,
3769,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18880841,,,,Blue,,1/10/2010,,,Dog,,"Terrier, American Pit Bull",,,,,Grey / White,,No / Male,
5740,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Animal Care and Control,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A10129087,,,,Sparky,,4/9/2006,,,Dog,,Beagle / Mix,,,,,Brown / White,,Yes / Male,
2534,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A15574661,,,,Versace,,3/7/2011,,,Dog,,Great Dane,,,,,Black / White,,No / Female,
5549,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Animal Care and Control,,,,,$15.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18881323,,,,Brandy,,1/10/1995,,,Dog,,Boxer / Mix,,,,,Fawn,,Yes / Female,
2542,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18993883,,,,Boss,,3/13/2010,,,Dog,,"Terrier, Pit Bull / Mix",,,,,Brindle / White,,No / Male,
3916,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19037891,,,,Brownie,,5/28/2012,,,Dog,,"Terrier, Pit Bull",,,,,Brown,,No / Female,
1017,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A19129018,,,,Edo,,9/7/2004,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
0919,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A19129050,,,,Nord,,5/25/2004,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
1002,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A19130956,,,,Bady,,1/15/2008,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
0930,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A19130979,,,,Tony,,6/2/2005,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
1015,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A19128676,,,,Dino,,1/10/2004,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
0907,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A19130733,,,,LB,,4/14/2008,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
0918,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A19130934,,,,Nedy,,6/15/2004,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
4744,,,Inactive,5/13/2014 10:21:31 AM,,Dog License No S/N,,,,,National Capital Area Spay and Neuter Center,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19198272,,,,Ebi,,4/17/2005,,,Dog,,"Chihuahua, Short Coat / Mix",,,,,Brown / White,,No / Female,
4713,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,National Capital Area Spay and Neuter Center,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19256191,,,,Bailey,,8/29/2012,,,Dog,,Terrier / Mix,,,,,Brown / White,,No / Female,
1012,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A19130746,,,,Cruz,,4/25/2009,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
0916,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A19130889,,,,Miquel,,11/12/2002,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
0927,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A19131101,,,,Saly,,5/9/2005,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
0116,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,No,,,,,,,,,,,,,
A19255809,,,,Oktan,,7/27/2002,,,Dog,,German Shepherd,,,,,Sable,,No / Male,
3933,,,Inactive,4/18/2014 3:48:51 PM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19065615,,,,Margarita,,2/1/2007,,,Dog,,"Terrier, Cairn",,,,,Brindle,,No / Male,
0739,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,LIC Rabies,,2/1/2014,,,1/31/2017,,,
A18913999,,,,Oliver of Georgetown,,8/25/2012,,,Dog,,"Retriever, Golden",,,,,Golden,,No / Male,
4187,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,Washington Humane Society,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19104770,,,,Raleigh,,2/7/2012,,,Dog,,Basset Hound / Mix,,,,,Fawn,,No / Male,
0917,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A19128721,,,,Ned,,7/20/2005,,,Dog,,German Shepherd / Mix,,,,,Black / Sable,,No / Male,
0923,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A19128772,,,,Rino,,2/17/2007,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
0908,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A19128989,,,,Lefty,,10/21/2004,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
0904,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A19129006,,,,Fox,,4/5/2005,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
1009,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A19130557,,,,Ceasar 20,,3/8/2005,,,Dog,,German Shepherd / Mix,,,,,Black / Sable,,No / Male,
0922,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A19130859,,,,Red,,6/5/2006,,,Dog,,"Retriever, Labrador / Mix",,,,,Brown,,No / Male,
0929,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A19131078,,,,Tif,,10/20/2004,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
4724,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,National Capital Area Spay and Neuter Center,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19256588,,,,Chico,,5/28/2012,,,Dog,,"Terrier, Pit Bull / Mix",,,,,White / Grey,,No / Male,
4753,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,National Capital Area Spay and Neuter Center,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19616572,,,,Nazir,,9/2/2011,,,Dog,,"Terrier, Pit Bull / Mix",,,,,Black / White,,No / Male,
0108,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,No,,,,,,,,,,,,,
A19926558,,,,Quetzal,,11/23/2012,,,Dog,,Irish Wolfhound / Mix,,,,,Brindle,,No / Female,
3935,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19067215,,,,Annie,,10/1/2012,,,Dog,,"Retriever, Golden / Poodle, Standard",,,,,Cream,,No / Female,
3994,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19346925,,,,Sparko Polo,,3/5/2004,,,Dog,,Pomeranian,,,,,Sable,,No / Male,
1678,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19109132,,,,Bear,,2/7/2005,,,Dog,,Akita / Mix,,,,,Black / White,,Yes / Male,
0931,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2014,,Yes,,,,,,,,,,,,,
A19130824,,,,Trigger,,1/21/2007,,,Dog,,"Retriever, Chesapeake Bay / Mix",,,,,Brown,,No / Male,
4722,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,National Capital Area Spay and Neuter Center,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
